iteration	spec_changed	composite_before	composite_after	delta	status	description
1	SPEC-007	-84.91	-219.68	-134.77	keep	Added cross-reference CREATE TABLE stubs for 9 tables referenced in pg_cron SQL
2	SPEC-009	-219.68	-249.68	-30.0	keep	Replaced 5 'like' comparisons with concrete descriptions in design system table
3	SPEC-009	-249.68	-253.89	-4.21	keep	Replaced 'text or icons' with concrete MUST NOT/MUST statement
4	SPEC-005	-253.89	-298.35	-44.46	keep	Added CREATE TABLE stubs for users, productions (cross-refs) and chat_rate_limits schema
5	SPEC-003	-298.35	-313.3	-14.95	keep	Added CREATE TABLE users stub as cross-reference from SPEC-002
6	SPEC-003	-313.3	-320.24	-6.94	keep	Replaced 'if needed' weasel word with MUST statement for unarchive
7	SPEC-005	-320.24	-324.66	-4.42	keep	Replaced 'opened or gains focus' with 'opened and whenever tab gains focus' + MUST
8	SPEC-005	-324.66	-334.08	-9.42	keep	Replaced 2 X-or-Y ambiguities: 'revoked or role' and 'Director or Staff member'
9	SPEC-005	-334.08	-349.09	-15.01	keep	Fixed 3 remaining X-or-Y ambiguities in chat spec
10	SPEC-003	-349.09	-394.09	-45.0	keep	Fixed all 9 X-or-Y ambiguities in director flow spec
11	SPEC-009	-394.09	-461.8	-67.71	keep	Added MUST statements to accessibility/form sections, added error status code handling (400/401/403/500)
12	SPEC-002	-461.8	-476.74	-14.94	keep	Added CREATE TABLE productions stub as cross-reference from SPEC-003
13	SPEC-004	-476.74	-541.52	-64.78	keep	Added 3 CREATE TABLE stubs, fixed 4 ambiguities (X-or-Y, optional, like comparison)
14	SPEC-001	-541.52	-576.52	-35.0	keep	Fixed 7 ambiguities: 3 X-or-Y, 3 optional, 1 approximate-number
15	SPEC-002	-576.52	-590.3	-13.78	keep	Fixed 3 of 4 X-or-Y ambiguities (4th in locked test scenarios table)
